OBJECT_NAME	job_name
PSOLDE	SYNTH_ESPECE
GRC816	COVENANT_A
T1R19	PERSON_PAYS_RESDC
FACILIT	FACILIT_MENS
T3R14C	PART_SEGM
ELCBAM	ECD_BAM
TIMTBO01	OPPO_CB
T1R21	PERSON_CMPS_PART_B
PERPHY	PERSON_PHSQ_RGM_MATRIM
IARFKA11	ECD_ASSU_IARD_C
CATLG_STAT	LIST_INDIC_TELPHNIE
T1R17P	PART_EDC_B
T6R10	LIEN_ENTRE_EVT
FEPAVE02	EPRGN_BQR_A
COCLICO_NUMER	INDIC_COCLICO_CLI_CIAL_C
BRUXSM03	EPRGN_BQR_C
FDEPOE	CPTE_A_VUE
IARFKA40	SINSTR
GRA004	ECHCE
HRELPA	PART_ELT_CONSTI_DOCU_B
TITXSD04	EPRGN_FINC_FEUILT
DGCZ17	EDS_GERE_CLI_CIAL
DGCZ13	CLI_CIAL_EMACO
C814ACT	CTR_CADRE_B
TIMTBK02	SPRT_CB
ENVDCO	ENV_DESTI_TK_COM_A
T3R13	PART_MRCH
C1RE69	PART_QUALIF_MIF_A
PROD_PRODTR	PROD_PRODTR
PROD_PRODTR_PROD_PRODTR	PROD_PRODTR_PROD_PRODTR
COCL_INTRL_CONSO	INTRL_CONSO
IARFKA1V	ASSU_GRNT_VIE_MENS
COCLICO_ALPHANUMER	IND_COCLICO_CTR_DETENU_D
DGXA70	UTIL_TECHN_CNL
D2R13	CPTE_DCVT_CSCA
CONVSE	ECD_DETENU_A
PARMAI	PERSON_COORD_A
PARTCDES	PART_ADR
IARFKA10	ECD_ASSU_IARD_B
C2R05	PST_FNCT_RESPONS_EDS
T6R01	SITUA_PARTC_PERSON
BAC000SO	CRED_E
A018DH06	RBRT_AN
IARFKA1L	ASSU_SANTE_MENS_B
COCLICO_SEGM	IND_COCLICO_CTR_DETENU_B
GRC818	RATIO_FINC_A
T1R18	PAYS_NATNLT
PAKADI	ADI_B
HISBT2	BALE_2
FAIT_UTI	FAIT_UTI
COCLICO_SCOR	IND_COCLICO_CTR_DETENU_A
C4RE09	PERSON_EXERCE_RPRSTN
CHARG1	CHRG
FDPSRM01	INDIC_FACTN_SVI_RDMT
ELESTR	ELT_DE_STRUCT
GRA210	PRSCRPTR
MESAUV	MSVG
ELECON	ECD_DETENU_B
IARFKA60	DVIPRJPRP_ASSU_B
UNICA_3F	ACTN_UNICA_B
T1R52C	ENTR_ACTI_ECON
COCLICO_ALPHANUMER	INDIC_COCLICO_PART_D
DGXH15	RESULTAT
G3R09	PST_FNCT_RESPONS_PORTEF
COCLICO_ALPHANUMER	IND_COCLICO_EDC_DETENU_D
BRUHMVO2	HISTO_MVT_FINANCIER
CTACAF	CNTCT_FAIRE
COCL_AF_CRC	AFFECT_CRCL_REL_CIALE
FAM_OFR_FAM_OFR	FAM_OFR_FAM_OFR
CLASSIFICATION	CNL_A
PARMAI	PART_COORD_A
AGPFTX	AGT_AFFECTE_PST_FNCT
T5R03D	LIEN_ENTRE_ECD_EF
DTWHNLIE	NATU_LIEN_PROD
BASMS010	SVI_MSG_SECURS
PORTFL	PORTEF
TCASFM	ENCRS_ESPECE_MENS
INCPER	SITUA_PARTC_A
REVEN1	REVNU
T3R05	PART_PORTEF
IARFKA1L	ECD_ASSU_SANTE_MENS_B
C3RE01	PART_ELT_PATRIM
ADIAD10	ADI_A
T5R05P	LIM_DCVT_CSCA
DTWHFS09	AFFACTURAGE_MENS
H2RE7B	ECD_BAM_FNCTN_BAM
T1R09	PART_CTR_B
C2RE13	SYNTH_PART_PART_SOC
ICNTRA	ECD_ASSU_IARD_A
DOFXSAVJ	REGSTR_CNSIGNT_OPERN
HRELTD	ENV_DESTI_TK_COM_B
T3R08	EDS_GERE_PART
REF_OFFRE	TYP_OFR_FIDL
OFR_SEGM_MRCH_CIAL	OFR_SEGM_MRCH_CIAL
GRCO_CREANCE	RCVRMT_CRED_SIEGE_MENS
CLASSIFICATION	TYP_SITUA_PARTC
PERMOR	PERSON_MOR
BRUMIPEP	AGREGAT_PEP
ELEPAT	ELT_PATRIM
SYNCHROSQUOTD	SYNCHRO_MABQE
PDIVPIVP	ECD_ASSU_PVYANC
EIACUD01	INT_DBTR_DAV_TOKOS
DGCZ11	SENSIBILITE_TECHN_CNTCT
COCLICO_ALPHANUMER	INDIC_COCLICO_CLI_CIAL_D
PROD_CIAL_MRCH	PROD_CIAL_MRCH
T1R53C	ETS_ACTI_ECON
OPENCT	CRED_SOFINCO_A
GRCO_CREANCE	OPERN_DE_MRCH_EXPOSE_MENS
T1R31	PART_ENTR_B
DTWHES06	EPRGN_SALRL_C
T1R23	PART_ENTR_A
PERPHY	PERSON_PHSQ_SITUA_FAM
MDCPRV	MDC_PREVISIONNEL
DGCZ06	PART_PART_EMACO
IARFKA16	ECD_ASSU_SANTE_MENS_A
OPTN_CHOIX_SUR_OPTN	OPTN_CHOIX_SUR_OPTN
C818ACT	RATIO_FINC_B
PERSON	PERSON
CLASSIFICATION	TYP_CNL_SIGNER
IARFKA13	ASSU_HABTN_MENS_A
IARFKA11	ASSU_VEHCL_MENS_B
JOURNAL_ACTION_PREUVE	JRNL_ACTN
IARFKA20	DVIPRJPRP_ASSU_A
SEGMAR	SEGM_MRCH_MRCH
C819ACT	DMND_WAIVER_B
HCERPA	PART_CMPS_CRCL_COM_B
DTWHD002	EPRGN_FINC_IMMO_STE
FAIT_UTI	LIST_FAIT_UTI
T6R05	SITUA_PARTC_PART
T1R01P	ECD_DANS_CADRE_CTR_A
LCLSTN_EDS	ADR_ADRESSE_EDS
DGXG52	FIDEL_RENTBL
GRCO_DU_TRANCHE_CORP	TRCH_CREANC_BDE_MENS
PROD_CIAL_GRP_CHOIX	PROD_CIAL_GRP_CHOIX
CONFRM	CNFRM_PERSON
ELSTELST	EDS_DEPEND_HIERNT_EDS
GRP_CHOIX	GRP_CHOIX
T6R27C	MSVG_EDC
MESSAF	MSG_FAIRE
DGXG61	SGMTN_EMACO
EXCCRDVX	EXTCR_CRED_DEVIS
HABITA	LGT
GRCO_GARANTIE	SURT_MENS
DGCZ19	PORTEF_GERE_CLI_CIAL
SEGSEG	SEGM_SEGM
SIMDOS	SIMULCA_DOSS
HIERA_UTI	HIERA_UTI
COCL_CONSO	CONSO
ASBPRI	EPRGN_ASSU_BQE_PRIVE
DGXH16	VLRSN_RESULTAT
UNICA_3D	ACTN_UNICA_A
FDPSRM01	INDIC_RCESN_SVI_RDMT
BACTAGRE	ECHCIER_CRED
PERSON	PERSON_CMPS_PART_A
COCLICO_SEGM	INDIC_COCLICO_CLI_CIAL_B
OPENCT	CRED_C
GRCO_TIERS_GP_RISQUE	PART_GRP_DE_RISQ_MENS
T1R18P	LIEN_ENTRE_ECD_CD
EXCAGECO	PART_AGT_ECON
GRCO_CREANCE	EDC_CRED_EXPOSE_MENS
LCLSTN_EDS	EDS_COORD
BRUINA88	LIGNE_EPRGN_FINC_PE
SPCASV	SPRT_CTR_ASSU_VIE
GRA024	PLFD_UTIL_A
BAC000PR	CRED_MENS
DTWHNLIE	NATU_LIEN
T1R10	PART_PART_EF
PARMAI	ETS_COORD_A
LIEN_OFR_PROD	LIEN_OFR_PROD
IARFKA12	ECD_ASSU_IARD_VEHCL_MENS
GRA071	OPTN_CRED
PARTCDES	ETS_COORD_C
COCL_EQPM_CLI	EQPM_CLI_CONSO
RARE02	PART_SGMTN_NOTATN_BALE2
CTRASP	CTR_ASSOS_PROD
T1R21	PART_PART_GH
PREUVE_CLIENT	PRVE_CLI_BNFCR
T6R10	SITUA_PARTC_MSVG
OFR_FAM_OFR	OFR_FAM_OFR
EXCTEMA2	EXTCR_TEMA
STATSAFROID	STAT_TELPHNIE_AGT
ELTDOC	ELT_CONSTI_DOCU
T6R01	EVT_B
GRCO_TIERS	PART_FLIER_CALCL_MENS
T6R15	EVT_D
HISPRO	ANA_PROF
IARFKA12	ASSU_VEHCL_MENS_A
IARFKA13	ECD_ASSU_IARD_D
T1R11	PERSON_PERSON_B
TIMELC	ECD_CB_B
GRA012	GRNT
T2R18P	PART_CLASS_GST_PARTC
OPE	OPERN_FAM_OPERN
PROD_CIAL_FAM_PROD	PROD_CIAL_FAM_PROD
C1RE48	PART_EDC_A
PDI0VU02	EPRGN_ASSU_MENS
ELSTPLGH	EDS_J_HR_OUV
BCC	ISPOOL_BCC
CONTRA	CTR_DETENU
HIERA_UTI	LIST_HIERA_UTI
STATSAFROID	STAT_TELPHNIE_SAV
ENDETE	DETTE_EXT
PARTCDES	PART_COORD_C
ELCOCOFF	ECD_COFFRE
GRA083	GRNT_COUVRE_EDC_B
IARPROD	PROD_PACIFICA_PROD_CIAL
COCL_AF_SEGM	AFFECT_SEGM_PART
DOSVNT	DOSS_VNT
T1R07P	ECD_DANS_CADRE_CTR_C
C1RE34	PART_CTR_A
T1R23	PART_POSSED_ENTR
TIMTBK01	ECD_CB_A
DGXG45	AGND_AGT
COCLICO_NUMER	INDIC_COCLICO_PART_C
THICONSP	SYNTH_CPTE_ESPECES
DATBDC61	AGREGAT_DAT
DESCOM	ADR
DGXG78	CNTCT_REAL
OPTN_PROD_CIAL	OPTN_PROD_CIAL
GRCO_TIERS	PART_PORTEF_BALE_TIERS_MENS
T1R11	PART_PART_CD
EMEXS021	TRACE_SMS
LOCCOMM	ADR_COMN
DGCZ18	PART_CLI_CIAL
DGCZ62	BOUTON_TECHN_CNTCT
CLCXS006	CLI_CIAL_PART_INFO_LIE
TIMTBK03	PROD_CB
STATSAFROID	STAT_TELPHNIE_AGNC
GRA093	RESS_PRET
FONCTN	FNCTN
OPTN_OFR	OPTN_OFR
HISAGR	ANA_AGRIS
FEPAVE03	EPRGN_BQR_B
GRCO_CREANCE	COUT_RISQ_CRED_MENS
PERPHY	PERSON_PHSQ
INCPAR	SITUA_PARTC_B
IARFKA16	ASSU_SANTE_MENS_A
A018DH18	RMGT_PRET
C2R15	FNCTN_CORRESPD_PST_FNCT
MOTCON	MTF_CNTCT
ASSURE	ASSURE
CAISELST	EDS_DEPEND_CL
PARTEL	ETS_COORD_B
LIEN_ACTE_OFR_BSN	LIEN_ACTE_OFR_BSN
T6R15	MSVG_CTR
ELCOPRET	ECD_CPTE_B
PDI0VU01	PART_EPRGN_ASSU
GRC817	ELT_COVENANT_A
BMOSOFI	QUALIF_PART_SOFINCO_MENS
FREMLO04	GRP_SOUSC_PAGOD
GRA005	CMPOS_ECHCE
GRC819	DMND_WAIVER_A
TIMTBA02	COMRC_TIM_ADHR
PDI0VU13	SPRT_INVESTISSEMENT
MIRATP	EPRGN_ASSU_ATOUT_PLUS
TDSSOL	SLD_COLCT_QUOTD
SECUCPTE	ECD_SECUCPTE
GRA606	PLFD
SIMEVT	SIMULCA_EVT
ESPBDBDF	A_BDF_MENS_A
BRUXSM03	EPRGN_FINC
DTWHD001	EPRGN_FINC_IMMO_CPTE
ELSTELST	EDS_CMPS_EDS
T6R21C	EVT_E
TIMTBA12	STAT_COMRC_MCHIN
C2R04	PST_FNCT_DEPEND_EDS
T1R49C	PERSON_PHSQ_CSP
T6R21C	ECD_SITUA_PARTC_ECD
COCLICO_SCOR	INDIC_COCLICO_CLI_CIAL_A
IARFKA1V	ECD_ASSU_IARD_F
HISDAV	SYNTH_CPTE_A_VUE
COCLICO_SEGM	IND_COCLICO_EDC_DETENU_B
REF_ICS	REF_ICS
ETABL	ETS
DGXG60	SEGM_EMACO
PAKPPA	CRED_D
CRM_TRMAIL	TRACE_EMAIL
PDIPRO	PROD_ASSU_PREDICA
FAM_PROD	FAM_PROD
CLASSIFICATION	TYP_EVT
C4RE09	PART_PART_AB
T1R23	PERSON_EST_ENTR
IARFKA77	ECD_ASSU_IARD_G
GRA228	INTVTN_PRSCRPTR
INFINA	QUALF_FIDL_NATN_CLI_CIAL
FAM_OFR	FAM_OFR
GRC560	PROJ
GRA001	CRED_A
CAISLO	CL
MOTEDC	DETAIL_MTF_DFT_ECD
DTWHES04	EPRGN_SALRL_A
EXCOPENX	EXTCR_OPEN
GRA001	PLFD_UTIL_B
CERCOM	CRCL_COM
COCL_AF_CENTR_INT	AFFECT_CENTR_INT_INTRL
EXCCAPIX	INT_PROD_CAPIT
IARFKA78	ASSU_MLTRISQ_PROF_MENS
FAM_PROD_FAM_PROD	FAM_PROD_FAM_PROD
T1R02P	ECD_DANS_CADRE_CTR_B
ASBPRI	EPRGN_ASSU_QUOTD
CRMINTCO	INTNS_CIAL_SEGM_CLIENTEL
GRC815	CTR_CADRE_CTR_PRET_A
COCL_CRC	CRCL_REL_CIALE
IARFKA1P	ASSU_HABTN_MENS_B
GRA080	GRNT_COUVRE_EDC_A
PARTCDES	PERSON_COORD_C
INFPER	INFO_PERSONNALISEE_MDC
EXCCRARX	EXTCR_CRED_EURO
GRC814	CTR_CADRE_A
APPSEG	TYP_SEGM_TYP_SEGM
COCL_DONFI	BILAN_PROSP
DGCZ15	CLI_CIAL
T6R05	EVT_A
ADRINT	EMAIL
C4RE09	PERSON_PERSON_A
YVPP	PART_PNB_MENS
EXCTIDXX	ENCRS_CTR_TITR
